@relation 'MyVoldemort-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.LinearForwardSelection -D 0 -N 5 -I -K 200 -T 0'

@attribute cumulative_bug_count numeric
@attribute changed_LOC numeric
@attribute s183 numeric
@attribute s325 numeric
@attribute s326 numeric
@attribute s367 numeric
@attribute s646 numeric
@attribute s660 numeric
@attribute s705 numeric
@attribute s828 numeric
@attribute s1037 numeric
@attribute s1346 numeric
@attribute s1386 numeric
@attribute s2300 numeric
@attribute s2642 numeric
@attribute s2856 numeric
@attribute s4357 numeric
@attribute s4875 numeric
@attribute s5171 numeric
@attribute bug_introducing {0,1}

@data
1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,12,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0
3,111,1,0,0,3,0,0,12,0,0,0,0,0,0,0,0,6,0,0
4,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,40,5,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,1
1,8,2,0,0,0,0,0,7,1,0,0,0,0,0,0,2,0,0,0
3,2,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0
7,8,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
6,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
16,5,2,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0
11,38,1,0,0,0,0,0,54,2,0,0,0,0,0,0,5,0,0,1
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,15,1,0,0,0,0,0,44,2,0,0,0,0,0,0,5,0,0,1
3,7,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0
9,7,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,3,4,0
1,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
3,56,3,0,0,1,0,0,12,2,0,0,0,0,0,0,0,2,0,0
10,119,2,0,0,1,0,0,7,2,0,0,0,0,0,0,0,9,6,1
4,47,12,0,0,1,0,0,4,1,0,0,0,0,0,0,0,2,0,1
5,137,1,0,0,0,0,0,38,32,0,0,0,0,0,0,0,36,0,1
10,12,11,0,0,1,0,0,7,1,0,0,0,0,0,0,0,3,4,0
13,197,1,0,0,0,0,0,75,2,0,0,0,0,0,0,7,0,0,1
3,20,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1
1,40,2,0,0,0,0,0,7,1,0,0,0,0,0,0,2,0,0,0
5,5,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1
14,105,3,0,0,0,0,0,77,2,0,0,0,0,0,0,13,0,0,1
2,8,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
10,1,1,0,0,1,0,0,7,1,0,0,0,0,0,0,0,3,4,0
0,153,1,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
5,11,11,0,0,0,0,0,11,1,0,1,0,0,0,0,0,0,0,0
6,16,12,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1
1,14,2,0,0,0,0,0,9,1,0,0,0,0,0,0,2,0,0,0
0,15,1,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0
4,15,2,0,0,1,0,0,6,1,0,0,0,0,0,0,0,2,0,0
5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
4,2,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
