@relation 'MyAnt-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute commit_hour numeric
@attribute cumulative_bug_count numeric
@attribute nd numeric
@attribute nf numeric
@attribute SEXP numeric
@attribute RatioCommentToCode numeric
@attribute AvgLineCode_delta numeric
@attribute CountStmtExe_delta numeric
@attribute CountDeclmethodNamePrivate_delta numeric
@attribute s11 numeric
@attribute s13 numeric
@attribute s22 numeric
@attribute s27 numeric
@attribute s47 numeric
@attribute s58 numeric
@attribute s61 numeric
@attribute s90 numeric
@attribute s130 numeric
@attribute s178 numeric
@attribute s270 numeric
@attribute s289 numeric
@attribute s348 numeric
@attribute s456 numeric
@attribute s649 numeric
@attribute s656 numeric
@attribute s678 numeric
@attribute s703 numeric
@attribute s759 numeric
@attribute s768 numeric
@attribute s856 numeric
@attribute s1082 numeric
@attribute s1119 numeric
@attribute s1123 numeric
@attribute s1303 numeric
@attribute s1695 numeric
@attribute s1773 numeric
@attribute s1785 numeric
@attribute s1973 numeric
@attribute s1982 numeric
@attribute s1989 numeric
@attribute s2130 numeric
@attribute s2176 numeric
@attribute s2192 numeric
@attribute s2332 numeric
@attribute s2375 numeric
@attribute s2578 numeric
@attribute s2978 numeric
@attribute s3490 numeric
@attribute s3554 numeric
@attribute s3794 numeric
@attribute s4204 numeric
@attribute s4733 numeric
@attribute s4982 numeric
@attribute s4994 numeric
@attribute s5053 numeric
@attribute s5182 numeric
@attribute s5305 numeric
@attribute s5531 numeric
@attribute s5575 numeric
@attribute s6876 numeric
@attribute s7684 numeric
@attribute bug_introducing {0,1}

@data
5,1,1,13,273,0.75,4,2,0,0,141,6,1,0,0,0,0,12,2,0,0,2,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
5,1,1,13,273,0.75,4,2,0,0,141,6,1,0,0,0,0,12,2,0,0,2,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
5,1,1,13,273,0.75,4,2,0,0,141,6,1,0,0,0,0,12,2,0,0,2,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
5,1,1,13,273,0.75,4,2,0,0,141,6,1,0,0,0,0,12,2,0,0,2,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
5,1,1,13,273,0.71,4,2,0,0,141,6,1,0,0,0,0,12,2,0,0,2,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
5,3,1,1,286,2.33,0,0,0,0,121,8,1,0,0,0,0,2,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,1,2,287,2.08,1,0,0,0,141,12,1,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1,2,287,1,5,3,0,0,141,14,1,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,1,3,289,0.11,0,0,0,0,1221,5,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
5,0,1,3,289,0.1,0,0,0,0,1101,4,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,1,3,289,1.81,0,0,0,0,181,8,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
5,0,2,9,292,0.44,0,0,0,0,1522,30,1,0,0,0,1,6,12,0,0,1,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
6,0,3,11,293,0.44,1,0,0,0,1522,30,1,0,0,0,1,6,12,0,0,1,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
6,0,3,11,293,2.2,0,0,0,0,151,5,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,3,11,293,3,0,0,0,0,131,9,1,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,3,11,293,2.86,0,0,0,0,131,6,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,3,11,293,0.63,0,0,0,0,181,10,1,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
